Community,V27,V28,V29,V30,V31,V32,V33,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
Comm.FOSSASIA,4,4,4,5,1,1,1,2,2,1,2,2,2,1,3,4,2
Comm.FOSSASIA,5,5,5,5,1,1,1,1,1,1,2,1,2,2,4,4,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,2,2,2,2,2
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,4,4,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,1,2,3,1
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2
Comm.FOSSASIA,-1,5,5,3,2,1,3,1,1,1,2,1,2,1,3,4,4
Comm.FOSSASIA,5,5,5,5,2,1,2,1,1,2,1,1,2,2,4,4,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,2,2,3,2,2,2,3,1,1,2
Comm.ROS,5,5,5,5,1,1,3,1,1,1,1,1,1,1,5,5,5
Comm.ROS,5,4,4,4,1,1,4,2,1,2,1,1,2,2,4,4,4
Comm.FOSSASIA,5,4,4,4,2,1,2,1,1,2,2,2,2,1,5,5,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,1,4,4,4
Comm.ROS,5,5,5,5,3,1,2,1,2,1,2,3,2,2,4,5,4
Comm.FOSSASIA,5,5,5,5,1,3,1,2,2,3,1,2,3,3,4,3,4
Comm.ROS,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,3,1,5,5,4
-1,3,2,3,3,2,2,1,1,2,1,2,2,2,3,3,3,2
Comm.ROS,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,2,1,5,5,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,1,5,5,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,2,1,4,4,4
Comm.FOSSASIA,4,4,4,4,2,2,3,1,1,1,2,2,2,1,5,5,4
-1,5,5,5,5,1,1,2,1,2,2,2,1,2,2,4,3,2
Comm.ROS,5,5,5,5,3,1,3,1,1,1,1,2,2,1,4,2,2
Comm.Coala,4,4,4,4,1,1,2,1,1,1,1,2,2,1,5,5,5
Comm.FOSSASIA,5,5,3,4,1,1,2,1,1,1,1,2,2,1,5,5,5
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,1,5,5,4
Comm.ROS,5,5,5,5,2,1,3,1,1,1,1,2,1,1,4,4,4
Comm.FOSSASIA,1,5,5,5,5,1,2,1,1,1,2,2,2,1,5,5,5
Comm.FOSSASIA,3,5,5,5,2,1,3,1,1,2,2,1,2,1,5,5,4
Comm.ROS,5,4,4,5,3,2,4,2,2,3,2,1,1,2,4,3,3
Comm.Mozilla,2,3,2,4,5,2,1,1,1,1,2,2,2,1,2,2,2
Comm.FOSSASIA,5,4,5,5,2,1,2,1,1,2,1,2,2,1,5,4,5
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,2,1,4,4,4
Comm.Mozilla,5,5,5,5,1,2,4,1,1,1,1,3,2,1,5,5,5
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,3,3,3
Comm.ROS,5,4,4,4,2,-1,2,1,1,2,1,1,2,1,4,4,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,3,1,2,2,2,1,4,4,3
Comm.FOSSASIA,4,4,4,4,2,1,2,1,1,2,1,2,2,1,4,4,4
Comm.ROS,3,4,4,5,1,1,2,2,1,1,1,2,1,1,5,4,3
Comm.ROS,5,5,5,5,2,2,3,1,1,2,1,1,2,1,4,4,4
Comm.ROS,5,4,4,5,3,2,3,2,2,1,1,2,2,1,4,4,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,2,2,4,4,3
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,1,2,2,2
Comm.ROS,5,5,5,5,2,1,2,1,1,1,1,1,2,1,5,5,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,1,1,4,4,4
Comm.FOSSASIA,4,4,4,4,1,1,3,1,1,1,1,2,2,1,4,4,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,2,1,4,3,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,2,4,4,4
Comm.ROS,2,5,5,5,3,2,4,2,2,1,3,3,1,1,5,4,5
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,3,2,3,3,2
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,2,2,3,3,2
-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,3,2,2,2,3,4,2
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,2,3,1,4,4,4
Comm.Mozilla,-1,-1,-1,-1,-1,-1,-1,3,2,2,1,2,3,2,3,3,3
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,3,1,4,4,4
Comm.FOSSASIA,5,4,3,5,1,1,1,1,1,1,2,1,1,1,2,2,2
Comm.FOSSASIA,4,4,4,4,2,1,3,1,1,1,1,2,2,1,4,4,4
Comm.Coala,5,5,5,5,2,1,1,1,1,1,1,2,2,1,5,5,5
Comm.FOSSASIA,4,4,4,4,1,1,3,1,1,1,1,2,2,1,5,4,4
Comm.Coala,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,1,5,5,2
Comm.Coala,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,5,5,2
Comm.FOSSASIA,5,5,5,5,2,1,4,1,1,1,1,2,2,1,4,4,4
Comm.Coala,3,5,5,5,2,1,2,1,1,1,1,1,1,1,5,5,5
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,1,4,4,4
Comm.Mozilla,-1,-1,-1,-1,-1,-1,-1,1,-1,2,2,2,3,1,4,4,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,3,1,4,4,4
Comm.Coala,-1,-1,-1,-1,-1,-1,-1,1,1,-1,2,1,3,1,4,4,2
Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1,1,3,3,3,3,3,1,5,5,5
Comm.FOSSASIA,5,5,5,5,1,2,1,1,1,1,1,2,3,1,5,5,5
-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,1,3,1,4,3,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,2,1,4,4,4
Comm.ROS,5,5,4,4,2,2,4,1,1,1,1,2,2,1,4,4,4
Comm.Coala,4,4,4,5,4,3,2,1,1,1,1,2,2,1,4,4,4
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,4,5,4
-1,4,3,2,3,1,4,3,2,2,1,2,3,1,1,4,4,4
Comm.Coala,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,1,1,2,4,4
Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,1,5,5,5
Comm.FOSSASIA,4,4,4,4,1,1,2,1,1,1,1,2,2,1,4,4,4
Comm.OpenGenus,4,5,4,5,1,1,1,1,2,1,2,2,2,1,5,5,5
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,3,1,4,4,4
Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1,1,1,2,3,2,4,2,3,4,4
Comm.Coala,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,3,1,5,4,4
Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1,2,2,3,1,3,3,2,3,2,2
Comm.Coala,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,1,2,1,4,1,2
-1,4,5,5,5,1,2,2,2,2,1,2,1,2,3,4,2,3
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,1,2,1,2
Comm.Coala,4,3,2,5,1,1,1,1,1,1,1,2,2,1,4,4,4
Comm.ReactJS,5,5,5,5,1,1,1,1,1,1,1,2,2,1,4,4,2
Comm.ROS,4,3,4,5,1,1,2,2,3,2,3,3,3,2,4,4,4
Comm.FOSSASIA,5,4,4,4,1,1,3,1,1,2,1,2,2,1,5,5,4
Comm.ReactJS,5,5,5,5,1,1,1,4,2,1,1,1,1,1,5,4,4
Comm.ReactJS,4,4,4,4,1,1,3,1,1,1,1,2,2,1,4,4,4
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,3,1,2,2,2
Comm.ReactJS,5,5,5,5,2,1,2,2,1,1,1,2,3,1,4,4,3
Comm.ReactJS,4,4,2,5,3,3,2,2,2,2,2,2,3,1,3,2,3
Comm.Plone,4,5,4,4,1,2,2,2,2,1,2,2,2,1,4,4,4
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,1,2,1,2
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,3,1,4,4,4
Comm.Plone,5,4,2,5,2,1,2,1,1,1,1,2,1,1,4,4,3
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,3,1,5,5,4
Comm.Plone,2,2,2,3,4,4,4,2,2,2,1,2,3,1,2,2,2
Comm.Plone,5,5,5,5,1,1,1,2,2,2,1,1,1,1,5,5,5
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,3,1,4,4,4
Comm.ReactJS,-1,-1,-1,-1,-1,-1,-1,1,1,2,3,3,2,3,2,2,2
Comm.ReactJS,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,2,2,1,4,3,4
Comm.Odoo,4,4,4,4,2,1,2,2,2,1,1,2,2,2,4,4,2
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,1,2,2,2
Comm.Odoo,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,4,3,2,4,4,3
Comm.Odoo,5,5,5,5,2,4,3,2,1,1,2,2,1,2,4,4,4
Comm.Plone,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,3,1,4,4,4
Comm.Odoo,2,4,4,4,4,5,4,1,1,1,1,1,2,1,5,5,2
Comm.Odoo,4,4,4,4,4,2,3,1,2,2,2,2,2,1,4,4,4
Comm.Odoo,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,3,1,4,4,4
Comm.ReactJS,2,5,5,5,1,1,4,2,3,1,1,4,1,1,4,5,5
Comm.Odoo,5,5,5,5,1,1,4,2,2,1,1,2,2,1,3,4,3
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,3,1,2,2,2
Comm.Odoo,4,4,4,4,3,2,2,2,1,2,2,3,1,2,4,4,5
Comm.Odoo,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,2,1,1,5,5,2
Comm.Odoo,2,1,1,3,1,1,4,1,1,1,2,2,2,2,4,3,4
Comm.Odoo,4,5,5,5,2,1,1,2,1,1,2,3,2,2,4,5,5
Comm.Plone,4,4,4,4,2,2,3,1,1,1,1,2,2,1,3,3,4
-1,2,4,4,5,2,4,3,1,3,1,1,1,2,1,4,4,4
Comm.Odoo,4,4,3,4,4,2,2,2,2,2,2,2,2,4,2,3,3
Comm.Plone,5,5,5,5,2,2,4,1,3,2,2,2,2,1,4,4,4
Comm.Plone,4,5,5,5,1,-1,-1,1,1,1,1,2,3,1,4,4,4
Comm.DuckDuckGo,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,3,4,4
Comm.Plone,4,4,4,4,1,1,2,1,1,1,1,2,3,1,4,4,4
Comm.AngularJS,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,3,1,4,4,4
Comm.DuckDuckGo,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,2,4,4,2
Comm.DuckDuckGo,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,3,3,2
-1,5,5,5,5,4,3,1,1,2,1,1,2,2,1,5,5,5
Comm.Plone,5,4,4,5,1,1,2,2,2,2,2,3,1,1,5,5,5
Comm.Odoo,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,1,3,3,4,4,3
Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,3,2,2,3,3,4
Comm.Odoo,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,3,4,1,3,3,2
-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,2,1,1,5,5,5
Comm.OpenGenus,4,4,3,5,1,1,1,1,1,1,1,2,2,1,4,4,4
Comm.Plone,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,3,1,4,4,4
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,1,2,2,2
Comm.NodeJS,-1,-1,-1,-1,-1,-1,-1,3,2,2,3,4,3,1,3,3,3
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,2,1,2,2,2
Comm.FOSSASIA,5,5,5,4,2,1,3,1,1,1,1,2,3,1,4,4,4
Comm.NodeJS,5,5,5,5,1,3,2,2,2,2,2,2,2,2,3,3,2
-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,3,1,3,1,2,3,2
Comm.Coala,4,4,4,1,2,1,2,1,1,1,2,2,3,1,4,4,4
Comm.NodeJS,5,5,5,5,1,1,2,2,1,1,1,3,2,1,5,5,5
Comm.Apache,4,5,4,5,1,1,1,2,2,1,2,2,2,1,3,2,3
Comm.AngularJS,5,5,5,5,2,1,2,2,2,2,2,2,2,1,4,4,3
Comm.Apache,4,4,4,4,2,2,3,1,1,1,2,2,3,1,4,4,4
-1,4,4,4,3,4,2,2,2,3,3,2,2,4,1,2,2,2
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,1,2,1,3,4,4
Comm.NodeJS,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,4,3,4,-1,-1
Comm.NodeJS,5,4,4,5,1,1,3,2,3,2,2,1,1,1,4,4,3
Comm.AngularJS,4,5,5,5,1,1,2,1,1,1,1,1,1,1,5,5,5
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,3,1,-1,-1,-1
Comm.NodeJS,5,5,5,5,4,5,2,1,1,2,2,2,3,1,4,4,4
Comm.NodeJS,4,4,4,4,2,2,2,2,3,2,2,3,3,2,3,3,4
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,3,1,4,4,4
Comm.NodeJS,5,5,4,5,2,2,2,1,1,1,2,2,3,1,4,4,4
Comm.Apache,4,4,4,4,2,1,3,2,2,2,2,1,2,1,4,4,3
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,1,2,1,3,3,3
Comm.Apache,2,3,3,4,4,2,5,2,2,1,1,2,1,1,4,3,3
Comm.Odoo,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,2,2,1,4,4,3
Comm.jQuery,2,2,2,2,2,3,2,1,1,1,2,2,3,1,2,2,2
Comm.Apache,5,5,4,4,2,2,2,2,3,1,2,1,2,1,4,4,1
-1,4,5,5,5,3,2,2,1,1,1,1,3,2,1,4,4,2
-1,5,5,5,5,2,1,4,1,2,2,1,3,2,1,5,5,4
Comm.Apache,4,4,2,4,2,1,3,2,3,2,2,2,3,1,4,4,4
Comm.Apache,5,5,3,4,1,1,2,2,1,2,2,2,2,2,4,4,2
Comm.Apache,5,5,5,5,1,1,1,1,1,1,-1,-1,3,1,4,4,4
-1,5,4,4,5,1,1,3,1,2,1,3,2,1,1,5,4,3
Comm.Apache,5,5,5,5,4,2,1,1,2,1,1,2,3,1,4,2,4
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,1,4,4,4
Comm.Apache,4,5,4,5,1,1,2,1,1,2,1,2,2,1,4,4,3
Comm.Apache,3,4,4,5,2,2,4,1,2,2,2,2,2,1,4,4,4
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,3,4,4
Comm.Apache,3,4,2,4,2,2,2,1,1,1,2,2,3,1,4,4,4
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,3,1,4,4,4
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,4,4,4
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,1,3,4,4
Comm.ReactJS,3,2,4,4,1,2,3,2,1,2,2,2,3,1,4,4,3
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,2,3,3,2,2,4,1,3,2,4
Comm.Apache,5,5,5,5,1,1,3,1,1,1,1,2,2,1,4,4,4
-1,5,5,4,5,1,2,2,2,2,1,1,2,1,1,3,3,2
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,3,1,4,4,4
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,3,2,1,1,2,1
Comm.Apache,4,4,4,4,1,1,2,2,2,2,3,3,3,2,4,5,4
Comm.Apache,4,5,5,5,3,3,3,3,2,2,2,3,2,1,3,2,2
Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,3,1,2,2,2
Comm.Apache,4,5,4,5,2,1,2,2,2,2,2,2,3,1,4,4,4
Comm.FOSSASIA,5,5,5,5,1,2,1,1,1,1,1,2,2,1,4,2,2
Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,3,1,2,2,3
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,3,2,1
-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,3,2,5,1,4,2,1
Comm.Apache,-1,-1,-1,-1,-1,-1,-1,3,3,2,1,1,3,1,3,4,2
Comm.ROS,5,4,4,4,3,3,4,2,2,2,3,3,2,1,4,2,4
Comm.Apache,5,4,4,5,2,2,1,1,2,1,1,4,1,1,3,3,3
